                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.6127,                 1.1338,                 1.7841,                0.78388,                0.64618,                0.73698,                0.35661,                 1.8442,                 1.1843,                 2.2019,             0.00076482,             0.00076482,             0.00076482
                     85,                 1.5747,                 1.1245,                 1.7606,                 0.7061,                0.73435,                0.73271,                0.34146,                 1.8848,                 1.1406,                 2.2823,             0.00075382,             0.00075382,             0.00075382
                     86,                 1.5981,                 1.1559,                 1.7616,                0.67932,                0.72297,                0.73026,                0.33848,                 1.8936,                 1.2622,                 2.2697,             0.00074282,             0.00074282,             0.00074282
                     87,                  1.588,                 1.1368,                 1.7617,                0.69577,                0.70776,                0.72695,                 0.3302,                 1.9157,                 1.2106,                 2.2541,             0.00073181,             0.00073181,             0.00073181
                     88,                 1.5519,                 1.1605,                 1.7353,                0.69655,                  0.691,                0.74077,                 0.3353,                 1.9045,                 1.2238,                 2.2109,             0.00072081,             0.00072081,             0.00072081
                     89,                  1.596,                 1.1385,                 1.7679,                0.70441,                0.69284,                0.71804,                0.32978,                  1.891,                 1.2333,                 2.2631,             0.00070981,             0.00070981,             0.00070981
                     90,                 1.5539,                 1.1588,                 1.7284,                0.62268,                0.71958,                0.69789,                0.31639,                 1.8939,                 1.2824,                 2.2399,             0.00069881,             0.00069881,             0.00069881
                     91,                 1.5591,                 1.1074,                 1.7277,                0.70511,                0.71655,                0.74695,                0.35076,                 1.8423,                 1.1914,                 2.2098,              0.0006878,              0.0006878,              0.0006878
                     92,                 1.5297,                 1.1154,                 1.7131,                0.71525,                0.72288,                0.75305,                0.34603,                  1.877,                 1.1549,                 2.2513,              0.0006768,              0.0006768,              0.0006768
                     93,                 1.5554,                 1.1378,                 1.7481,                 0.7499,                0.75528,                 0.7764,                0.36096,                 1.8784,                 1.1408,                   2.24,              0.0006658,              0.0006658,              0.0006658
                     94,                 1.5358,                 1.1022,                 1.7183,                0.74028,                0.65565,                0.71137,                0.32708,                 1.9119,                 1.2477,                 2.2555,              0.0006548,              0.0006548,              0.0006548
                     95,                 1.5182,                 1.1026,                 1.7195,                 0.6992,                0.70386,                 0.7236,                0.33836,                 1.9038,                  1.278,                 2.3036,              0.0006438,              0.0006438,              0.0006438
                     96,                 1.5245,                 1.0939,                 1.7182,                0.73977,                0.68802,                0.72688,                0.34028,                 1.8499,                 1.2779,                 2.2126,             0.00063279,             0.00063279,             0.00063279
                     97,                 1.5444,                  1.115,                 1.7434,                0.75651,                0.68346,                 0.7491,                0.34922,                 1.8846,                 1.1758,                 2.3071,             0.00062179,             0.00062179,             0.00062179
                     98,                 1.5348,                 1.0935,                  1.724,                0.67029,                0.71099,                0.69682,                0.32476,                 1.8857,                 1.2744,                 2.2622,             0.00061079,             0.00061079,             0.00061079
                     99,                 1.4921,                 1.0917,                 1.6842,                0.67303,                0.71595,                0.72981,                 0.3383,                 1.9088,                 1.1559,                 2.2974,             0.00059979,             0.00059979,             0.00059979
                    100,                 1.5149,                 1.1019,                 1.7037,                0.75479,                0.69072,                0.74463,                0.33723,                 1.8938,                 1.2383,                 2.2406,             0.00058878,             0.00058878,             0.00058878
                    101,                 1.4583,                 1.0554,                 1.6778,                  0.733,                0.74151,                0.75096,                0.34754,                  1.882,                 1.1673,                 2.2591,             0.00057778,             0.00057778,             0.00057778
                    102,                 1.4513,                 1.0306,                 1.6576,                0.70189,                0.70018,                0.74821,                0.33819,                 1.9627,                 1.2492,                  2.271,             0.00056678,             0.00056678,             0.00056678
